text,label
"Anolther sequence related traceback Just got this ... I was just reading mail, but in a very dark room, where the keyboard is illuminated mostly by the light from the (laptop) screen. I think I put my fingers on the wrong keys. (I mostly use the keyboard exclusively while running exmh). This is from today's cvs (the fixes for the problems I mentioned yesterday are included) - I eventually managed to contact the cvs server. expected integer but got """" while executing ""incr m"" (procedure ""MhSeqExpand"" line 12) invoked from within ""MhSeqExpand $folder $msgids"" (procedure ""MhSeq"" line 2) invoked from within ""MhSeq $folder $seq $how $oldmsgids $msgids"" (procedure ""Mh_SequenceUpdate"" line 54) invoked from within ""Mh_SequenceUpdate $folder replace $seq $msgids"" (procedure ""Seq_Set"" line 4) invoked from within ""Seq_Set $folder cur $msgid"" (procedure ""Mh_SetCur"" line 7) invoked from within ""Mh_SetCur $exmh(folder) $msgid"" (procedure ""MsgChange"" line 5) invoked from within ""MsgChange - noshow"" invoked from within ""time [list MsgChange $msgid $show"" (procedure ""Msg_Change"" line 3) invoked from within ""Msg_Change $select(sel) noshow"" (procedure ""SelectTypein"" line 14) invoked from within ""SelectTypein .mid.right.top.msg -"" (command bound to event) kre ps: I have the sequences window vertical instead of horizontal, and the ""colours from the ftoc"" stuff all deleted, and it is looking just about as good as the old unseen window used to look. I still have some work to do to make it a little nicer (listboxes seem to have some strange habits) and then I need to make it all optional and parameterized, at the minute I'm just embedding stuff in the code, much quicker for prototyping. Once its done, I'll send a patch for someone to look over. _______________________________________________ Exmh-workers mailing list Exmh-workers@redhat.com  URL",ham
"Reverse Aging While Burning Fat <html> <head> <meta  URL  content=""text/html; charset=iso-8859-1""> <title>Lose weight while building lean muscle mass and reversing the ravages of aging all at once</title> </head> <body> <img src="" URL  height=""1"" width=""1""> <CENTER> <TABLE WIDTH=500 BORDER=0 CELLPADDING=0 CELLSPACING=0> <TR> <P><CENTER><FONT SIZE=""1"" FACE=""Arial, Helvetica, sans-serif""> The following message was sent to you as an opt-in subscriber to eNetwork. We will continue to bring you valuable offers on the products and services that interest you most. If you wish to unsubscribe please click on the remove link at the bottom of the page. </P> </tr> </table> <BR> <table BORDER WIDTH=""52%"" > <tr> <td WIDTH=""90%"" BGCOLOR=""#FFCC00""><b><font face=""Arial""><font color=""#FFFFFF""><font size=+2></font></font></font></b> <center><table BORDER=0 CELLSPACING=10 CELLPADDING=0 COLS=1 WIDTH=""100%"" > <tr> <td WIDTH=""100%"" BGCOLOR=""#000000""> <center><b><font face=""Arial""><font color=""#FFFFFF""><font size=+2>Human Growth Hormone Therapy</font></font></font></b></center> </td> </tr> </table></center> <center> <p><b><font face=""Arial""><font color=""#FFFFFF""><font size=+1>Lose weight while building lean muscle mass</font></font></font></b> <br><b><font face=""Arial""><font color=""#FFFFFF""><font size=+1> and reversing the ravages of aging all at once.</font></font></font></b> <p><font face=""Arial""><font color=""#FFFFFF""><font size=+0>Remarkable discoveries about Human Growth Hormones (<b>HGH</b>) </font></font></font> <br><font face=""Arial""><font color=""#FFFFFF""><font size=+0>are changing the way we think about aging and weight loss.</font></font></font></center> <br> <center><table WIDTH=""442"" BGCOLOR=""#FFFFFF"" > <tr> <td WIDTH=""229"" HEIGHT=""2""><b><font face=""Arial, Helvetica, sans-serif""><font color=""#000000""><font size=+0>Lose Weight</font></font></font></b> <br><b><font face=""Arial, Helvetica, sans-serif""><font color=""#000000""><font size=+0>Build Muscle Tone</font></font></font></b> <br><b><font face=""Arial, Helvetica, sans-serif""><font color=""#000000""><font size=+0>Reverse Aging</font></font></font></b> <br><b><font face=""Arial, Helvetica, sans-serif""><font color=""#000000""><font size=+0>Increased Libido</font></font></font></b> <br><b><font face=""Arial, Helvetica, sans-serif""><font color=""#000000""><font size=+0>Duration Of Penile Erection</font></font></font></b></td> <td WIDTH=""199"" HEIGHT=""2""><b><font face=""Arial, Helvetica, sans-serif""><font color=""#000000""><font size=+0> New Hair Growth</font></font></font></b> <br><b><font face=""Arial, Helvetica, sans-serif""><font color=""#000000""><font size=+0> Improved Memory</font></font></font></b> <br><b><font face=""Arial, Helvetica, sans-serif""><font color=""#000000""> Improved skin</font></font></b> <br><b><font face=""Arial, Helvetica, sans-serif""><font color=""#000000""> New Hair Growth</font></font></b> <br><b><font face=""Arial, Helvetica, sans-serif""><font color=""#000000""> Wrinkle Disappearance </font></font></b></td> </tr> </table></center> <center> <p><b><font face=""Arial""><font color=""#FFFFFF""><a href="" URL  Our Web Site and Lean The Facts: Click Here</a></font></font></b></center> <p> </td> </tr> </table> <BR> <HR WIDTH=400> <BR> <TABLE WIDTH=""400"" BORDER=""0"" CELLSPACING=""2"" CELLPADDING=""0""> <TR> <TD WIDTH=""100%""> <P><FONT SIZE=""1"" FACE=""Arial, Helvetica, sans-serif"">You are receiving this email as a subscriber to our mailing list. To remove yourself from this and related email lists click here: <a href="" URL  MY EMAIL</A></FONT></P> <P><FONT SIZE=""1"" FACE=""Arial, Helvetica, sans-serif""><BR> Under Bill(s) 1618 TITLE III by the 105 US Congress, per Section 301, Paragraph(a)(2)of S. 1618, a letter cannot be considered Spam if the sender includes contact information and a method of ""removal"".</FONT> <BR> <BR> </TD> </TR> </TABLE> </CENTER> <img src="" URL  height=""0"" width=""0""> </body> </html>",spam
"Why is it so hard to get a cab in San Francisco? URL:  URL  Date: Not supplied A San Francisco cabbie -- generally a well-educated and firm-opinion-holding class of person -- has an essay about a subject near and dear to my (non-car-owning) heart: Why is it so damned hard to get a cab in San Francisco? In fact, no cab company ever tells a driver to pick up anyone. When you phone a cab firm in San Francisco, your call is treated not as an order, not as a binding oral contract, but simply as a request... So, why don't cab companies ensure that we pick you up on time-or at all? In a nutshell, labor law states that if a cab company actually commands a driver to carry out a specific action, that constitutes an employer-employee relationship. But if a company farms its work out to independent contractors, it can rid itself of costly expenses such as disability and social security taxes. It also means that the contractor drivers can't unionize. Link[1] Discuss[2] (_via CamWorld[3]_) [1]  URL  [2]  URL  [3]  URL",ham
Pics and thanks I gota thank all you kind folk who sent thier well wishes our way. It was a bumpy ride but everything is working out and allthe good vibes are a tremendous help. Ive saved each one and along with the cards and other emails we have been getting we are goign to print them out add them to Benjamins baby book. Ive had just enough time to Gimp up a pic so folks can see the little bloke. Head on over to  URL  and have a gander at the boy. -tom(i cant feedem so I changem)whore  URL,ham
"netatalk-1.5.5-1rh7 Hi folks, I just uploaded RPMS of the new netatalk 1.5.5 released yesterday, thought folks here might be interested. This release fixes a nastygram in saving files via Illustrator that I personally have been waiting for....  URL  (will be mirrored on rpmfind.net by tomorrow, usually). -te -- Troy Engel, Systems Engineer Cool as the other side of the pillow _______________________________________________ RPM-List mailing list <RPM-List@freshrpms.net>  URL",ham
"OpenGL First, thanks for all the rpms, and especially ogle (which comes very close to working perfectly on my Cyrix 333 box!). Now, I desperately need some games, especially TuxKart and FlightGear, but I forever get stuck on a dependency: everything needs OpenGL. Querying the rpm database for OpenGL gets me nowhere fast. Can anyone point me in the right direction? What, in RedHat, provides OpenGL? Sorry for the question, but I've just switched from SuSE and I'm used to being able to tell YaST to sort out the dependencies........ Cheers John _______________________________________________ RPM-List mailing list <RPM-List@freshrpms.net>  URL",ham
"Re: [zzzzteana] Re: Archer-UK TV Alert Yes, I enjoyed it. Then afterwards, there was a debate thing on ITV about genius or madness, featuring a friend of mine's boss plus David Icke, also the very likeable Evelyn Glennie. Dave To unsubscribe from this group, send an email to: forteana-unsubscribe@egroups.com Your use of Yahoo! Groups is subject to  URL",ham
"Re: CVS report > From: Anders Eriksson <aeriksson@fastmail.fm> > Date: Mon, 19 Aug 2002 21:44:48 +0200 > > > Just cvs up'ed and nowadays Catch-up Unseen is __extremely__ slow on > large (>100 msgs) unseen sequences. Anybody else having this problem? I'll take the blame. The reason, I suspect, is that we're needlessly reading the .sequences file multiple times because of other sequences. I need to make the code much smarter about handling that file, but first I have a few other fish to fry in my rather large patch that's on it's way. Chris -- Chris Garrigues  URL  virCIO  URL  716 Congress, Suite 200 Austin, TX 78701 +1 512 374 0500 World War III: The Wrong-Doers Vs. the Evil-Doers.",ham
Scientists prove that shoe size and penis size are not linked. Cure for cancer not expected for 10 billion years URL:  URL  Date: 2002-09-30T20:19:11+01:00 [IMG:  URL  ([Reuters])],ham
"America's Most Liberal Lenders 0137Cpnx4-448G-13 <HTML><HEAD><STYLE> BODY {font-family=""Arial""} TT {font-family=""Courier New""} BLOCKQUOTE.CITE {margin:0; padding-left:0.5em; border-left:2px solid;} SPAN.TABOOHEADER {display=none} </STYLE> <title>Online Loan Service</title> </HEAD> <BODY> <p align=""left""> <FONT FACE=arial,helvetica><B><FONT COLOR=""#d6321b"" SIZE=5 FAMILY=""SANSSERIF"" FACE=""Arial"" LANG=""0""> What Are You Waiting For?<br> </FONT> </B> </font><b><font size=""5"" color=""#0000FF"">Rates Have Dipped....Approvals Are Up!</font></b><FONT FACE=arial,helvetica><B><font size=""5"" FAMILY=""SANSSERIF"" FACE=""Arial"" LANG=""0"" color=""#0000FF""><br> </font></B></font><font size=""2"" color=""#FFFFFF""><b>7</b></font><span style=""background-color: #FFFFFF""><br> Now you can shop for your home loan and get the best deal possible <br> through <font color=""#000080"">our <a href="" URL  <b> Online Home Loan Service</b></a></font><a href="" URL  <b><font color=""#D6321B""><i>Free with no obligation!</i></font></b></span></p> <p align=""left"">Act Now! This is the time to take advantage of falling interest rates.</p> <p align=""left""><span style=""background-color: #FFFFFF"">Regardless of your credit or income level, money is available for any situation. <br> We are working with many lenders who will offer you the best deal possible for <br> a home loan based on your situation. </span></p> <p align=""left""><span style=""background-color: #FFFFFF"">Refinance to a lower rate and payment with or without cash in your pocket.<br> Second Mortgage or an Equity Line to pay off bills, improve your <br> home or just get some cash for what ever purpose you like.</span></p> <p align=""left""><span style=""background-color: #FFFFFF"">We have eliminated the hassle of shopping for a loan. </span></p> <p align=""left""><span style=""background-color: #FFFFFF"">It's simple an fast!<b> </b>Just complete our <b> <a href="" URL  minute form</a></b> which provides the data base<br> with the information needed to evaluate your situation and get you a free loan quotation.</span></p> <p align=""left""><span style=""background-color: #FFFFFF"">We don't pull your credit or ask for your social security number.<i><b><font color=""#D6321B""> </font></b><font color=""#D6321B"">It is that easy!</font></i></span></p> <p align=""left""><font color=""#0000FF""><font color=""#000000""> <a href="" URL  style=""text-decoration: none""><span style=""background-color: #FFFFFF""> <font color=""#000000"">Just</font><b> </b></span></a></font> <span style=""background-color: #FFFFFF""><a style=""text-decoration: none"" href="" URL  <b>CLICK HERE<font color=""#000000""> </font></b><font color=""#000000"">and watch the lenders compete for your business. You are in charge!</font></a></span></font></p> <p align=""left""> <FONT FACE=arial,helvetica><FONT COLOR=""#000080"" style=""BACKGROUND-COLOR: #ffffff"" SIZE=2 FAMILY=""SANSSERIF"" FACE=""Arial"" LANG=""0"">We apologize for any email you may have inadvertently received. Please</FONT><FONT COLOR=""#000000"" style=""BACKGROUND-COLOR: #ffffff"" SIZE=2 FAMILY=""SANSSERIF"" FACE=""Arial"" LANG=""0""> <a href="" URL  HERE</a> </FONT> <FONT COLOR=""#000080"" style=""BACKGROUND-COLOR: #ffffff"" SIZE=2 FAMILY=""SANSSERIF"" FACE=""Arial"" LANG=""0"">to opt out from future newsletters</FONT><FONT COLOR=""#000000"" style=""BACKGROUND-COLOR: #ffffff"" SIZE=2 FAMILY=""SANSSERIF"" FACE=""Arial"" LANG=""0"">.</FONT></font></p> <p align=""left""> <FONT size=""2"" FACE=""arial,helvetica""><span style=""background-color: #FFFFFF""><FONT COLOR=""#000000"" style=""BACKGROUND-COLOR: #ffffff"" SIZE=2 FAMILY=""SANSSERIF"" FACE=""Arial"" LANG=""0""> 9455qyBX6-240Yxfy9620HnbI4-618JPZu7866ZfVB3-590sOHD5982LDnl55</FONT></span></font></HTML></p> </body></html> 2163euDu5-512jPdy6605FwVf4-771cAuR6578vpMg9-113Zl45",spam
".. kennst mich noch ? nehrb Hallo, Wir haben uns schon ziemlich lange nicht mehr gesehen, a ich ja nur noh Zeit für meine Freundin hatte. DAMIT ist jetzt Schluß. Alex hat mich sitzen lassen. Du erhälst dieses Mail, weil ich Dir mal zeigen will, wie die Kleine wirklich so drauf ist. Ich hab jetzt vor lauter Wut eine eigene Homepage gebastelt, da kannste mal was sehen:  URL  Wie findest Du das ? lg Peter gcoakgwnibgafjecarccjbjiiqlluijseublait",spam
"Re: [SAtalk] Re: Other uses for SA? Brian R. Melcer said: >> I've got spamassassin installed and tested on MacOS X 10.1.5, >> although there are issues with spamd still. So in addition to >> looking for new and different uses for SA, I'd like to hear >> from folks using it under MacOS X. > > I just recently converted our SA setup to use Amavisd into our Postfix Amavisd or Amavisd-new? If the latter, you don't need spamd running, since amavisd-new calls SA functions directly. -- PGP Fingerprint: 0AA8 DC47 CB63 AE3F C739 6BF9 9AB4 1EF6 5AA5 BCDF Member, LEAF Project < URL  AIM: MikeLeone Public Key - < URL  Some days you're the pigeon; some days you're the statue. Random Thought: -------------- ------------------------------------------------------- This sf.net email is sponsored by: OSDN - Tired of that same old cell phone? Get a new here for FREE!  URL  _______________________________________________ Spamassassin-talk mailing list Spamassassin-talk@lists.sourceforge.net  URL",ham
"Re: [ILUG] PostgreSQL vs. MySQL Sean O'Donnell wrote: > Doesnt answer your question, but theres a very simple reason i > develop a lot on mysql, it runs on windows and linux, a lot of > clients only have windows servers, and last time i checked > you can only run postgresql on windows with a lot of fecking > around with cygwin. give postgres a decent standalone windows > build and i reckon you would see a lot of defections. This is pertinent:  URL  Pádraig. -- Irish Linux Users' Group: ilug@linux.ie  URL  for (un)subscription information. List maintainer: listmaster@linux.ie",ham
"Re: Scramjet works? : HyShot experiment takes-off Quoth R. A. Hettinga: >The HyShot experiment - attempting the world`s first flight test of the >supersonic combustion process - was launched at 1135 local time (1205 AEST) >at the Woomera Prohibited Area, 500km north of Adelaide today. Eh? AFAIK, the Russian Kholod program achieved successful supersonic combustion in a scramjet about 10 years ago. Bye, Rob.  URL",ham
"Re: The Big Jump John Hall wrote: >Why so fast? Normal terminal velocity is much slower. > > Not at 40,000 m. I found this article ( URL  : ""The last person to try to break the highest free fall record died in the attempt. In 1965, New Jersey truck driver Nick Piantanida suffered catastrophic equipment failure when his facemask blew out at 57,000 feet. Lack of oxygen caused such severe brain damage that he went into a coma and died four months later."" And in amongst the flash at  URL  you can discover that he will break the sound barrier at 35,000 m, presumably reaching top speed somewhere above 30,000. Owen > > >>-----Original Message----- >>From: fork-admin@xent.com [mailto:fork-admin@xent.com] On Behalf Of >>bitbitch@magnesium.net >>Sent: Sunday, September 08, 2002 8:36 AM >>To: (Robert Harley) >>Cc: fork@spamassassin.taint.org >>Subject: Re: The Big Jump >> >> >> >>So uh, would this qualify for the Darwin awards if he doesn't make it? >> >>Freaking french people... >> :-) >>-BB >>RH> Today a French officer called Michel Fournier is supposed to get >> >> >in a > > >>RH> 350-metre tall helium balloon, ride it up to the edge of space (40 >> >> >km > > >>RH> altitude) and jump out. His fall should last 6.5 minutes and >> >> >reach > > >>RH> speeds of Mach 1.5. He hopes to open his parachute manually at >> >> >the > > >>RH> end, although with an automatic backup if he is 7 seconds from the >>RH> ground and still hasn't opened it. >> >>RH> R >> >>RH> ObQuote: >>RH> ""Vederò, si averò si grossi li coglioni, come ha il re di >> >> >Franza."" > > >>RH> (""Let's see if I've got as much balls as the King of France!"") >>RH> - Pope Julius II, 2 January 1511 >> >> >> >>-- >>Best regards, >> bitbitch mailto:bitbitch@magnesium.net >> >> > > > >",ham
"[Spambayes] All Cap or Cap Word Subjects [Brad Clements] > Just curious if subject line capitalization can be used as an indicator. > > Either the percentage of characters that are caps.. > > Or, percentage starting with a capital letter (if number of words > xx) Supply a mod to tokenizer.py and I'll test it (eventually <wink>). Note that the tokenizer already *preserves* case in subject-line words, because experiment showed that this was better than folding case away in this specific context (but experiment also showed-- against my expectations --that preserving case everywhere didn't make a significant difference to either error rate -- the subject line is a special case for this).",ham
"Re: gentoo 0.11.31 released... Once upon a time, Matthias wrote : > Hi, Matthias.. > > > ..it's a major release and supports now SGI's FAM technology > > ..requires currently some changes for the spec because the dep to fam > 2.6.7-6. > For compiling fam.h (fam-evel) is required too. Indeed, I had repackaged a first version, but without fam support (not released). I'll release the package with fam support right now ;-) Matthias -- Matthias Saou World Trade Center ------------- Edificio Norte 4 Planta System and Network Engineer 08039 Barcelona, Spain Electronic Group Interactive Phone : +34 936 00 23 23 _______________________________________________ RPM-List mailing list <RPM-List@freshrpms.net>  URL",ham
"Re: Ximian apt repos? On Wed, 2002-07-24 at 03:50, Angles Puglisi wrote: > Lance (lance_tt@bellsouth.net) wrote*: > > > >well, from the looks of things, Evolution mail client isn't supported > >just yet, so I reckon I'll wait a bit. Whoever posted these gnome2 apt > >repositories, thanks!!! > > > > I'm uising Havoc Pennington's Gnomehide and it rocks. I installed it before I > knew about apt, but one of the previous emails had an apt repository that > claimed to have gnomehide. Just remember there is one kew file that makes the > difference between Gnome1 and Gnome2 being used. I *think* it is ""gnome-core"" > vs. ""gnome-session"" but I can not remember. > > Note that that those same files are probably in the Limbo beta, except > updated. There has not been a major change to ""gnomehide"" in a while, I > suspect Havoc's work went into Limbo then. Right, gnomehide is only updated when it's been a while since the last red hat release, and the next beta isn't out yet. Since the beta is out now, gnomehide won't be updated again for a while. Julian _______________________________________________ RPM-List mailing list <RPM-List@freshrpms.net>  URL",ham
"Snag Ware We were sitting here talking about Opera, and the fact that it's not free anymore (unless you want the scrollypollies), and how that sucked and stuff, and someone said something about nagware, and I misinterpretted it as snag ware, which mainly means, oh yeh, right, I'm gonna buy this -eyeroll- where's someone with a key? LOL So who is it again who's on this list who's associated with Opera? Why's the free one using the same LAME idea netzero, etc useD? I know what kind of costs are involved in creating software like this, and I understand everyone needs to eat, but if someone can get netscape for free, and opera isn't free, then, hmmm... I imagine this email is going to bring some bricks down on my head, but well, go for it, I gots my helmet. (: Cindy P.S. GregB, you there? (: -- ""I don't take no stocks in mathematics, anyway"" --Huckleberry Finn  URL",ham
"[ILUG] Free Cell phone with any Plan! Below is the result of your feedback form. It was submitted by (spock@1andonly.com) on Sunday, July 28, 19102 at 15:37:19 --------------------------------------------------------------------------- message: Free Cell phone with any Plan! We have all the latest Phones for FREE!!!! Please click the link below to Choose your Free Cellphone! -  URL  - Deals with Verizon, Pacbell, ATT, and many more! - If you have received this Email in error please contact: lon_chaney_jr@hotmail.com with subject: remove. --------------------------------------------------------------------------- -- Irish Linux Users' Group: ilug@linux.ie  URL  for (un)subscription information. List maintainer: listmaster@linux.ie",spam
"WORK FROM HOME. FREE DETAILS. WE NEED HELP. We are a 14 year old fortune 500 company, and we have grown 1000%! We cannot keep up. We are looking for individuals who want to work at home, and make a good living. So if you are looking to be employed from home with a career that has vast opportunities, then go:  URL  and fill out our info form. NO EXPERIENCE REQUIRED, WE WILL TRAIN YOU. NO COMMITTMENT IS REQUIRED BY FILLING OUT THE FORM, IT IS FOR INFO ONLY.  URL  You want to be independent? THEN MAKE IT HAPPEN! HAPPEN! SIMPLY CLICK ON THE LINK BELOW FOR FREE, NO OBLIGATED INFORMATION! GUARANTEED!  URL  To be removed from our link simple go to:  URL  7773yeFu0-048lhUU4192RRTa7-528LHHZ5390OFtY1-426ZJrY6257XgnL8-712daCw9024eVzQ8-819Sl77",spam
"Re: [Razor-users] Reliability of the razor servers? It appears that the servers are having issues, I'm seeing tons of timeouts, and such. It was working fine up until this morning, so I'd say they must be having backbone or server issues on their end. - AA - ----- Original Message ----- From: Daniel Higgins To: razor-users@example.sourceforge.net Sent: Monday, August 05, 2002 9:49 AM Subject: [Razor-users] Reliability of the razor servers? ok so after waiting all this time before upgrading to V2 (just did it this morning because V1 isn't effective at all anymore) i ran into problems with reliability of the servers. it took me about half an hour to do a razor-admin -create and razor-admin -register constantly retrying because it kept timing out connect1: nextserver: Could not get valid info from Discovery Servers is it a problem just now or is that standard issue? up until now i've been advocating razor to all, but i it starts to have reliability issues we might as well look for another way to catch the spam, we can't afford to have one anti spam trick, no matter how effective, bog down the entire mail server -- Daniel Higgins Netcommunications Inc.",ham
"ADV: Interest rates are DOWN!! ntbri INTEREST RATES HAVE JUST BEEN CUT!!! NOW is the perfect time to think about refinancing your home mortgage! Rates are down! Take a minute and fill out our quick online form.  URL  Easy qualifying, prompt, courteous service, low rates! Don't wait for interest rates to go up again, lock in YOUR low rate now! --------------------------------------- To unsubscribe, go to:  URL  Please allow 48-72 hours for removal.",spam
"Stay at Home Business-24 hr Support! See below for your Exit Information. ============================================================================================================ Dear Friend, You're about to discover how you can have FIVE of your own Internet businesses set up and taking orders within 29 minutes...for less than half of what most people spend on groceries! I'd like for you to know up front that I'm not an Internet Guru...Not A Computer Wiz...And Not A Marketing Genius. First of all, I'll admit that I don't expect you to believe a single word I say. After all, how many times a day are you BOMBARDED with some lame ""get-rich-quick"" scheme on the Internet? You probably get a brand new promise of instant wealth every few hours in your e-mail box and if you're anything like me, you've tried a few and been left with nothing but a hole in your pocket! Well, I've got great news for you. Now you too can make great money right from your home with your own auto-pilot ""Internet Empire""! But before we get into that, let me prove to you that I'm actually doing it and that you can too... - Free Cash Generating Websites! - Full Resell Rights! - You keep 100% on every sale! - Live customer support! Urgent! Order the program right now and we will email you our toll free support number! Unconditional, No-Risk Guarantee!! Cut and Paste this address into your browser to order NOW!!  URL  ============================================================================================================ Your email address has been submitted to The PermissionPass Network for mailing by one of our merchant clients, or included as part of an assets purchase. You may permanently remove yourself at  URL  Thank you.. - PermissionPass.com",spam
Re: gentoo 0.11.31 relased... ..it's a major release and supports now SGI's FAM technology (see  URL  meaning gentoo will now be aware of changes made to the directories it's viewing. More details see emils ChangeLog on  URL  -- regards from Germany Matthias _______________________________________________ RPM-List mailing list <RPM-List@freshrpms.net>  URL,ham
